"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"CPSEETF","CPSE ETF","98.91","100.97","96.50","98.51","100.50","-","1.99","2.02","30,53,447","30.52","98.41","102.40","74.90",4.98,"28.60"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","10.21","10.74","10.21","10.48","10.69","-","0.21","2.00","2,93,421","0.31","10.51","11.00","8.00",2.44,"24.02"
"GROWWPOWER","BSE Power Index - TRI","10.20","10.35","10.16","10.15","10.32","-","0.17","1.67","4,81,234","0.49","10.11","11.30","7.75",7.41,"-"
"ENERGY","Nifty Energy","35.95","36.37","35.73","35.78","36.35","-","0.57","1.59","14,99,615","5.42","35.77","40.00","32.00",4.1,"-"
"GILT5BETA","UTI Nifty 5 yr Benchmark G-Sec ETF","64.74","64.74","63.41","63.62","64.58","-","0.96","1.51","943","0.01","64.29","65.00","59.73",0.79,"-"
"MOINFRA","BSE India Infrastructure Total Return Index","60.25","61.06","59.17","59.96","60.84","-","0.88","1.47","17,829","0.11","59.80","63.80","55.26",2.72,"-"
"NPBET","Nifty Private Bank Index","297.08","300.08","296.55","295.60","299.73","-","4.13","1.40","148","-","296.26","307.00","243.79",-0.41,"17.16"
"MOREALTY","Motilal Oswal Nifty Realty ETF","80.16","83.32","80.16","82.22","83.32","-","1.10","1.34","2,16,710","1.79","82.31","107.02","74.39",-3.61,"-1.40"
"INFRABEES","Nifty Infra","980.81","992.99","978.46","982.20","992.99","-","10.79","1.10","8,293","0.82","984.36","1,018.30","783.98",2.87,"20.09"
"MOENERGY","Nifty Energy Index","36.09","36.52","35.93","35.92","36.31","-","0.39","1.09","1,96,525","0.71","35.76","42.40","33.00",4.33,"-"
"PVTBANIETF","Nifty Private Bank Index","28.82","29.23","28.81","28.89","29.20","-","0.31","1.07","17,13,275","4.98","28.89","30.03","23.87",0.14,"17.34"
"ICICIB22","S&P BSE BHARAT 22 index","121.11","126.99","121.11","123.29","124.61","-","1.32","1.07","6,06,564","7.52","123.11","128.24","93.02",4.83,"27.56"
"HDFCBSE500","HDFC S&P BSE 500 ETF","37.01","37.66","37.01","37.21","37.60","-","0.39","1.05","26,659","0.10","37.36","39.55","31.14",-1.33,"12.62"
"EBANKNIFTY","Edelweiss Nifty Bank ETF","61.28","61.28","60.44","60.67","61.28","-","0.61","1.01","1,214","0.01","60.50","62.37","47.00",0.12,"23.26"
"SBIETFPB","Nifty Private Bank Index","292.60","295.49","291.81","292.61","295.49","-","2.88","0.98","2,131","0.06","292.06","300.00","237.15",0.36,"18.39"
"BANKBETF","Bajaj Finserv Nifty Bank ETF","61.00","61.62","60.74","61.04","61.62","-","0.58","0.95","7,063","0.04","60.94","65.00","47.00",0.43,"23.81"
"BANKADD","DSP Nifty Bank ETF","61.21","62.06","61.21","61.48","62.06","-","0.58","0.94","5,944","0.04","61.38","62.71","48.30",0.46,"-"
"PSUBNKBEES","Nifty PSU Bank","100.00","102.86","100.00","101.86","102.80","-","0.94","0.92","13,51,084","13.76","102.03","104.58","61.54",1.38,"55.68"
"EGOLD","Edelweiss Gold ETF","153.00","153.90","152.00","151.95","153.35","-","1.40","0.92","65,483","1.00","152.22","184.95","85.00",6.97,"73.66"
"SETFNIFBK","Nifty Bank","616.59","623.50","614.42","617.68","623.30","-","5.62","0.91","1,27,625","7.94","615.99","636.47","465.64",0.45,"23.55"
"PHARMABEES","Nifty Pharma TRI","22.75","23.00","22.50","22.75","22.95","-","0.20","0.88","18,64,964","4.28","22.76","26.52","19.47",-0.22,"6.71"
"GROWWRLTY","Index","9.47","9.47","8.98","9.24","9.32","-","0.08","0.87","1,52,824","0.14","9.22","11.30","8.31",-3.55,"-"
"HDFCNIFBAN","Nifty Bank","61.82","62.43","61.31","61.90","62.43","-","0.53","0.86","39,271","0.24","61.72","63.63","48.51",0.58,"23.58"
"PVTBANKADD","DSP Nifty Private Bank ETF","29.02","29.35","28.96","29.10","29.35","-","0.25","0.86","6,973","0.02","29.03","30.05","23.83",0.38,"17.67"
"NEXT50","Nifty Next 50","708.50","713.10","703.02","707.07","713.00","-","5.93","0.84","13,813","0.98","706.38","732.49","573.45",-0.05,"16.51"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","92.30","93.34","91.69","92.57","93.33","-","0.76","0.82","81,162","0.75","92.62","94.87","55.80",1.62,"56.08"
"SBIBPB","BSE PSU Bank Index TRI","52.81","53.03","52.20","52.55","52.98","-","0.43","0.82","81,835","0.43","52.47","53.92","34.37",0.11,"-"
"HEALTHY","Nifty Healthcare TRI","14.51","14.92","14.51","14.77","14.89","-","0.12","0.81","1,21,314","0.18","14.77","16.98","12.20",-0.07,"7.97"
"BANKBEES","Nifty Bank","621.00","627.50","617.37","622.45","627.49","-","5.04","0.81","1,87,682","11.71","620.91","637.13","490.00",0.41,"23.36"
"INFRAIETF","ICICI Prudential Nifty Infrastructure ETF","99.17","99.17","97.58","98.17","98.97","-","0.80","0.81","2,57,279","2.54","97.99","101.00","77.65",3.15,"20.50"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF","29.32","29.46","29.01","29.20","29.43","-","0.23","0.79","30,320","0.09","29.14","30.10","24.04",0.31,"17.65"
"MOPSE","Nifty PSE Total Return Index","103.00","105.17","103.00","103.28","104.10","-","0.82","0.79","423","-","102.96","114.70","92.55",2.81,"-"
"MONEXT50","Nifty Next 50 Total Return Index","69.85","69.85","68.00","68.60","69.13","-","0.53","0.77","952","0.01","68.40","72.30","63.54",0,"-"
"NEXT50IETF","Nifty Next 50","73.14","73.14","71.97","72.39","72.95","-","0.56","0.77","4,16,350","3.02","72.28","76.55","58.70",0.1,"16.12"
"BANKETF","Mirae Asset Nifty Bank ETF","609.95","616.85","608.85","611.95","616.68","-","4.73","0.77","12,725","0.78","610.68","624.37","481.38",0.42,"23.51"
"GROWWPSE","Nifty PSE Index � TRI","102.12","103.90","100.04","102.12","102.89","-","0.77","0.75","7,035","0.07","101.74","105.97","100.04",0,"-"
"BANKIETF","Nifty Bank","61.66","62.23","61.24","61.74","62.20","-","0.46","0.75","2,60,658","1.61","61.57","63.19","47.55",0.5,"23.50"
"BANKPSU","Nifty PSU Bank Total Return Index","91.40","92.60","91.16","91.91","92.60","-","0.69","0.75","82,645","0.76","92.01","93.28","55.29",1.72,"56.55"
"GROWWMC150","Nifty Midcap 150 Index - TRI","221.89","221.89","216.51","218.99","220.60","-","1.61","0.74","5,205","0.11","219.10","228.97","206.60",-0.05,"-"
"ABSLBANETF","Nifty Bank","60.05","62.07","60.05","61.59","62.04","-","0.45","0.73","2,80,358","1.73","61.46","63.65","47.55",0.41,"23.48"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","93.50","93.50","91.61","92.61","93.29","-","0.68","0.73","11,811","0.11","92.36","94.59","55.68",1.91,"56.81"
"MIDSELIETF","S&P BSE Midcap Select Index","17.56","18.36","17.56","17.92","18.05","-","0.13","0.73","52,854","0.09","17.91","20.00","13.86",-1.75,"16.82"
"AXISGOLD","Gold","130.07","130.07","126.80","126.90","127.83","-","0.93","0.73","8,29,611","10.57","127.17","150.00","68.10",6.8,"74.00"
"HEALTHADD","DSP Nifty Healthcare ETF","146.03","146.36","145.59","145.31","146.36","-","1.05","0.72","5,978","0.09","144.93","152.49","126.98",0.11,"8.34"
"BANKBETA","Nifty Bank","61.73","62.67","61.73","62.22","62.66","-","0.44","0.71","15,446","0.10","62.02","63.71","48.71",0.66,"-"
"SETFNN50","Nifty Next 50","730.53","739.50","730.53","734.20","739.42","-","5.22","0.71","42,737","3.15","733.15","840.00","585.51",0.08,"16.10"
"PSUBANKADD","DSP Nifty PSU Bank ETF","91.64","93.00","91.50","92.35","93.00","-","0.65","0.70","21,233","0.20","92.16","93.97","55.47",1.85,"56.47"
"AXISCETF","NIFTY India Consumption Index","120.90","123.26","119.59","120.90","121.75","-","0.85","0.70","926","0.01","120.95","131.85","101.00",-1.73,"10.54"
"JUNIORBEES","Nippon India ETF Nifty Next 50 Junior BeES","734.02","763.12","734.02","740.89","746.00","-","5.11","0.69","2,37,319","17.62","739.87","777.00","595.00",0.03,"16.22"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF","43.02","43.71","43.02","43.26","43.55","-","0.29","0.67","22,407","0.10","43.16","47.57","37.93",-0.48,"7.37"
"HEALTHIETF","Nifty Healthcare Index","147.61","149.88","147.31","147.61","148.60","-","0.99","0.67","1,32,706","1.97","147.26","157.19","128.14",0.09,"8.74"
"BANKNIFTY1","Nifty Bank","624.06","628.50","620.68","624.06","628.16","-","4.10","0.66","10,717","0.67","622.27","651.60","490.15",0.54,"23.63"
"OILIETF","Nifty Oil & Gas Index","11.82","12.21","11.82","12.13","12.21","-","0.08","0.66","57,32,065","6.97","12.12","12.77","9.42",1.76,"21.79"
"ALPL30IETF","Nifty Alpha Low-Volatility 30 Index","27.97","28.17","27.82","27.97","28.15","-","0.18","0.64","2,65,568","0.75","28.03","28.72","24.00",0.97,"8.49"
"BBNPPGOLD","Baroda BNP Paribas Gold ETF","148.70","151.00","147.35","148.00","148.95","-","0.95","0.64","22,946","0.34","147.56","184.05","81.60",7.56,"74.84"
"SNXT30BEES","BSE Sensex Next 30 Index","40.93","41.39","40.75","40.93","41.18","-","0.25","0.61","2,820","0.01","40.91","41.99","37.03",-0.61,"-"
"GROWWGOLD","Commodity","14.90","15.07","14.87","14.89","14.98","-","0.09","0.60","28,02,679","4.18","14.90","18.00","8.00",-89.28,"-82.62"
"LICNFNHGP","Nifty 100","277.91","286.72","277.91","285.04","286.72","-","1.68","0.59","250","0.01","284.35","296.41","242.47",-0.21,"11.10"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF","191.82","194.06","191.82","192.78","193.89","-","1.11","0.58","1,210","0.02","192.19","202.28","162.15",-2.85,"11.38"
"ECAPINSURE","BSE Capital Markets & Insurance Total Return Index","24.91","24.91","23.68","24.18","24.32","-","0.14","0.58","30,381","0.07","24.17","26.77","17.13",-0.33,"32.20"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","99.62","100.44","98.95","99.66","100.24","-","0.58","0.58","60,941","0.61","99.47","103.99","75.61",1.94,"27.83"
"BSE500IETF","S&P BSE 500 index","39.76","39.76","38.96","39.36","39.59","-","0.23","0.58","69,828","0.28","39.33","41.64","33.00",-0.93,"13.23"
"QGOLDHALF","Gold","129.56","131.40","126.41","126.40","127.12","-","0.72","0.57","1,00,154","1.28","126.30","149.69","69.80",7.3,"75.53"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","69.31","70.70","69.31","70.17","70.57","-","0.40","0.57","49,356","0.35","70.00","73.00","57.00",0.06,"16.19"
"NEXT50BETA","Nifty Next 50","74.28","74.49","73.60","74.07","74.49","-","0.42","0.57","1,22,081","0.91","73.86","79.10","59.90",0.08,"-"
"SBIETFQLTY","Nifty 200 Quality 30 Index","215.94","222.98","215.94","220.31","221.55","-","1.24","0.56","2,620","0.06","219.81","240.00","191.50",-4.59,"6.97"
"GOLDADD","DSP Gold ETF","149.74","149.74","147.69","147.75","148.58","-","0.83","0.56","1,62,886","2.41","147.99","181.00","81.15",6.89,"-"
"AXISBNKETF","Nifty Bank","635.32","635.32","610.05","619.83","623.25","-","3.42","0.55","407","0.03","618.48","635.32","485.00",0.49,"23.68"
"MON100","Nasdaq100","235.99","235.99","228.66","230.24","231.48","-","1.24","0.54","5,21,790","12.10","218.87","258.80","159.30",-2.25,"12.07"
"IDFNIFTYET","Nifty 50","280.24","282.95","280.20","279.48","280.99","-","1.51","0.54","413","0.01","279.55","340.80","235.01",-0.86,"12.03"
"ABSLNN50ET","Nifty Next 50","71.30","72.74","71.30","72.13","72.50","-","0.37","0.51","8,738","0.06","72.04","75.45","58.37",0.21,"15.30"
"GOLDCASE","Zerodha Gold ETF","23.27","24.71","23.27","23.99","24.11","-","0.12","0.50","74,54,081","17.92","24.00","27.94","12.83",7.19,"74.73"
"IVZINGOLD","Gold","13,275.85","13,330.00","13,222.05","13,264.00","13,330.00","-","66.00","0.50","335","0.45","13,340.24","15,599.80","7,401.00",7.03,"75.43"
"MIDCAPIETF","Nifty Midcap 150","22.32","22.70","22.32","22.57","22.68","-","0.11","0.49","5,77,885","1.31","22.59","24.00","17.80",-0.53,"19.29"
"NIFTYCASE","Nifty Index 50 Index","9.89","10.29","9.89","10.15","10.20","-","0.05","0.49","2,11,494","0.21","10.14","10.97","9.80",-0.68,"-"
"LOWVOL","Mirae Asset Nifty 100 Low Volatility 30 ETF","211.15","211.15","210.10","210.10","211.13","-","1.03","0.49","2,326","0.05","209.98","219.10","179.33",-2.05,"9.91"
"DIVOPPBEES","Nifty Dividend Opportunities 50 TRI","84.60","84.60","80.15","82.14","82.54","-","0.40","0.49","33,688","0.28","82.09","87.09","68.30",-2.04,"10.21"
