id,instrument_token,symbol,expiry_date,strike_price,option_type,tier,subscribed_at,ws_connection_id,active
1,CE_NIFTY_24650.0_2026-02-10,NIFTY,2026-02-10,24650.0,CE,TIER_B,2026-02-05 04:43:19.298118,1,1
2,PE_NIFTY_24650.0_2026-02-10,NIFTY,2026-02-10,24650.0,PE,TIER_B,2026-02-05 04:43:19.298152,2,1
3,CE_NIFTY_24700.0_2026-02-10,NIFTY,2026-02-10,24700.0,CE,TIER_B,2026-02-05 04:43:19.298176,3,1
4,PE_NIFTY_24700.0_2026-02-10,NIFTY,2026-02-10,24700.0,PE,TIER_B,2026-02-05 04:43:19.298196,4,1
5,CE_NIFTY_24750.0_2026-02-10,NIFTY,2026-02-10,24750.0,CE,TIER_B,2026-02-05 04:43:19.298214,5,1
6,PE_NIFTY_24750.0_2026-02-10,NIFTY,2026-02-10,24750.0,PE,TIER_B,2026-02-05 04:43:19.298232,1,1
7,CE_NIFTY_24800.0_2026-02-10,NIFTY,2026-02-10,24800.0,CE,TIER_B,2026-02-05 04:43:19.298250,2,1
8,PE_NIFTY_24800.0_2026-02-10,NIFTY,2026-02-10,24800.0,PE,TIER_B,2026-02-05 04:43:19.298267,3,1
9,CE_NIFTY_24850.0_2026-02-10,NIFTY,2026-02-10,24850.0,CE,TIER_B,2026-02-05 04:43:19.298284,4,1
10,PE_NIFTY_24850.0_2026-02-10,NIFTY,2026-02-10,24850.0,PE,TIER_B,2026-02-05 04:43:19.298300,5,1
11,CE_NIFTY_24900.0_2026-02-10,NIFTY,2026-02-10,24900.0,CE,TIER_B,2026-02-05 04:43:19.298316,1,1
12,PE_NIFTY_24900.0_2026-02-10,NIFTY,2026-02-10,24900.0,PE,TIER_B,2026-02-05 04:43:19.298334,2,1
13,CE_NIFTY_24950.0_2026-02-10,NIFTY,2026-02-10,24950.0,CE,TIER_B,2026-02-05 04:43:19.298350,3,1
14,PE_NIFTY_24950.0_2026-02-10,NIFTY,2026-02-10,24950.0,PE,TIER_B,2026-02-05 04:43:19.298367,4,1
15,CE_NIFTY_25000.0_2026-02-10,NIFTY,2026-02-10,25000.0,CE,TIER_B,2026-02-05 04:43:19.298384,5,1
